distrito,codigo_seccion,habitantes,mujer_sola_16_64,hombre_solo_16_64,mujer_sola_65omas,hombre_solo_65omas,mujer_con_menores,hombre_con_menores,pareja_16_64_sin_menores,pareja_1_65omas_sin_menores,pareja_con_1menor,pareja_con_2menores,pareja_con_3omas_menores,2adultos35omas_1joven_sin_menores,2adultos35omas_1joven_1menor,2adultos35omas_1joven_2omas_menores,3adultos_con_sin_menores,2adultos35omas_2jovenes_sin_menores,2adultos35omas_2jovenes_1menor,2adultos35omas_2jovenes_2omas_menores,4adultos_con_sin_menores,5omas_adultos,hogar_15omas,menores_solos
01. Centro,1001,552.0,66.0,94.0,54.0,23.0,5.0,3.0,84.0,70.0,21.0,10.0,0.0,24.0,8.0,1.0,38.0,7.0,1.0,1.0,15.0,25.0,0.0,2.0
01. Centro,1002,509.0,102.0,108.0,36.0,16.0,3.0,0.0,102.0,34.0,11.0,3.0,0.0,10.0,4.0,2.0,38.0,7.0,1.0,0.0,19.0,13.0,0.0,0.0
01. Centro,1003,919.0,152.0,175.0,78.0,43.0,5.0,4.0,166.0,76.0,18.0,11.0,3.0,31.0,5.0,3.0,49.0,22.0,2.0,0.0,30.0,46.0,0.0,0.0
01. Centro,1004,626.0,98.0,105.0,57.0,30.0,6.0,1.0,101.0,72.0,12.0,10.0,5.0,22.0,2.0,1.0,53.0,13.0,3.0,0.0,13.0,20.0,2.0,0.0
01. Centro,1006,896.0,126.0,176.0,87.0,50.0,11.0,0.0,166.0,88.0,19.0,17.0,1.0,28.0,5.0,1.0,49.0,24.0,2.0,1.0,17.0,26.0,0.0,2.0
01. Centro,1007,436.0,61.0,75.0,58.0,22.0,9.0,1.0,71.0,38.0,8.0,6.0,3.0,16.0,3.0,2.0,33.0,10.0,1.0,0.0,12.0,7.0,0.0,0.0
01. Centro,1008,401.0,52.0,72.0,38.0,22.0,6.0,1.0,65.0,47.0,12.0,10.0,1.0,13.0,3.0,0.0,29.0,6.0,1.0,0.0,11.0,12.0,0.0,0.0
01. Centro,1009,721.0,112.0,136.0,57.0,33.0,15.0,3.0,145.0,67.0,25.0,13.0,3.0,21.0,4.0,1.0,44.0,13.0,2.0,1.0,15.0,10.0,0.0,1.0
01. Centro,1011,575.0,93.0,102.0,47.0,29.0,8.0,0.0,116.0,47.0,20.0,12.0,1.0,22.0,7.0,1.0,35.0,4.0,3.0,0.0,12.0,16.0,0.0,0.0
01. Centro,1012,365.0,65.0,70.0,23.0,11.0,5.0,1.0,62.0,28.0,9.0,6.0,1.0,10.0,2.0,0.0,30.0,4.0,1.0,0.0,16.0,20.0,0.0,1.0
