distrito,codigo_seccion,habitantes,todos_espanoles,todos_extranjeros,mixto_espanoles_extranjeros
01. Centro,1001,552.0,418.0,79.0,55.0
01. Centro,1002,509.0,329.0,118.0,62.0
01. Centro,1003,919.0,614.0,193.0,112.0
01. Centro,1004,626.0,467.0,78.0,81.0
01. Centro,1006,896.0,670.0,114.0,112.0
01. Centro,1007,436.0,338.0,52.0,46.0
01. Centro,1008,401.0,303.0,52.0,46.0
01. Centro,1009,721.0,536.0,112.0,73.0
01. Centro,1011,575.0,427.0,75.0,73.0
01. Centro,1012,365.0,256.0,63.0,46.0
01. Centro,1013,650.0,457.0,117.0,76.0
01. Centro,1014,703.0,545.0,76.0,82.0
01. Centro,1015,733.0,560.0,88.0,85.0
01. Centro,1016,561.0,412.0,73.0,76.0
01. Centro,1018,930.0,767.0,73.0,90.0
01. Centro,1019,683.0,561.0,57.0,65.0
01. Centro,1020,645.0,510.0,70.0,65.0
01. Centro,1021,863.0,706.0,86.0,71.0
01. Centro,1022,647.0,503.0,78.0,66.0
01. Centro,1023,727.0,492.0,134.0,101.0
01. Centro,1024,678.0,476.0,128.0,74.0
01. Centro,1025,477.0,341.0,70.0,66.0
01. Centro,1026,738.0,493.0,153.0,92.0
01. Centro,1027,602.0,418.0,107.0,77.0
01. Centro,1028,658.0,437.0,124.0,97.0
01. Centro,1029,651.0,439.0,109.0,103.0
01. Centro,1030,500.0,336.0,64.0,100.0
01. Centro,1031,575.0,431.0,85.0,59.0
01. Centro,1032,1020.0,766.0,131.0,123.0
01. Centro,1033,647.0,439.0,123.0,85.0
01. Centro,1034,744.0,437.0,180.0,127.0
01. Centro,1035,674.0,485.0,86.0,103.0
01. Centro,1036,603.0,418.0,105.0,80.0
01. Centro,1037,528.0,389.0,71.0,68.0
01. Centro,1038,624.0,394.0,129.0,101.0
01. Centro,1039,515.0,367.0,76.0,72.0
01. Centro,1040,390.0,281.0,52.0,57.0
01. Centro,1041,491.0,321.0,95.0,75.0
01. Centro,1042,510.0,357.0,82.0,71.0
01. Centro,1043,574.0,345.0,128.0,101.0
01. Centro,1045,693.0,442.0,153.0,98.0
01. Centro,1046,768.0,528.0,133.0,107.0
01. Centro,1047,1095.0,670.0,231.0,194.0
01. Centro,1048,587.0,385.0,111.0,91.0
01. Centro,1049,678.0,429.0,167.0,82.0
01. Centro,1050,658.0,413.0,129.0,116.0
01. Centro,1051,756.0,463.0,165.0,128.0
01. Centro,1053,683.0,457.0,122.0,104.0
01. Centro,1054,468.0,324.0,90.0,54.0
01. Centro,1055,531.0,414.0,57.0,60.0
01. Centro,1056,454.0,373.0,29.0,52.0
01. Centro,1057,729.0,595.0,70.0,64.0
01. Centro,1058,335.0,252.0,43.0,40.0
01. Centro,1059,786.0,559.0,129.0,98.0
01. Centro,1061,425.0,299.0,73.0,53.0
01. Centro,1062,523.0,382.0,84.0,57.0
01. Centro,1063,371.0,258.0,53.0,60.0
01. Centro,1064,425.0,299.0,66.0,60.0
01. Centro,1065,419.0,293.0,57.0,69.0
01. Centro,1066,675.0,454.0,139.0,82.0
01. Centro,1067,621.0,388.0,128.0,105.0
01. Centro,1068,404.0,257.0,83.0,64.0
01. Centro,1069,548.0,326.0,152.0,70.0
01. Centro,1071,384.0,273.0,64.0,47.0
01. Centro,1072,785.0,533.0,139.0,113.0
01. Centro,1073,844.0,592.0,151.0,101.0
01. Centro,1074,879.0,545.0,200.0,134.0
01. Centro,1075,760.0,479.0,185.0,96.0
01. Centro,1076,729.0,450.0,173.0,106.0
01. Centro,1077,642.0,453.0,91.0,98.0
01. Centro,1079,769.0,525.0,160.0,84.0
01. Centro,1081,859.0,564.0,184.0,111.0
01. Centro,1082,870.0,580.0,180.0,110.0
01. Centro,1084,804.0,592.0,123.0,89.0
01. Centro,1087,642.0,461.0,95.0,86.0
01. Centro,1088,587.0,430.0,93.0,64.0
01. Centro,1089,747.0,581.0,87.0,79.0
01. Centro,1090,404.0,288.0,61.0,55.0
01. Centro,1091,551.0,409.0,79.0,63.0
01. Centro,1092,402.0,290.0,64.0,48.0
01. Centro,1093,817.0,544.0,176.0,97.0
01. Centro,1094,813.0,560.0,137.0,116.0
01. Centro,1095,784.0,540.0,146.0,98.0
01. Centro,1096,548.0,348.0,127.0,73.0
01. Centro,1097,778.0,544.0,144.0,90.0
01. Centro,1098,627.0,450.0,95.0,82.0
01. Centro,1099,687.0,478.0,125.0,84.0
01. Centro,1100,662.0,467.0,120.0,75.0
01. Centro,1101,678.0,423.0,157.0,98.0
01. Centro,1102,606.0,416.0,109.0,81.0
01. Centro,1103,699.0,561.0,90.0,48.0
01. Centro,1104,670.0,471.0,112.0,87.0
01. Centro,1105,751.0,588.0,108.0,55.0
01. Centro,1106,560.0,459.0,46.0,55.0
01. Centro,1107,582.0,483.0,49.0,50.0
01. Centro,1108,695.0,523.0,93.0,79.0
01. Centro,1109,482.0,359.0,65.0,58.0
01. Centro,1110,432.0,319.0,61.0,52.0
01. Centro,1111,511.0,366.0,83.0,62.0
01. Centro,1112,607.0,425.0,98.0,84.0
01. Centro,1113,567.0,369.0,121.0,77.0
01. Centro,1114,844.0,557.0,166.0,121.0
01. Centro,1115,530.0,367.0,88.0,75.0
01. Centro,1116,759.0,454.0,190.0,115.0
01. Centro,1117,831.0,539.0,168.0,124.0
01. Centro,1118,461.0,278.0,120.0,63.0
01. Centro,1119,572.0,325.0,159.0,88.0
01. Centro,1120,450.0,296.0,100.0,54.0
01. Centro,1121,921.0,573.0,208.0,140.0
01. Centro,1123,399.0,269.0,75.0,55.0
01. Centro,1124,364.0,228.0,61.0,75.0
02. Arganzuela,2001,594.0,494.0,49.0,51.0
02. Arganzuela,2002,734.0,616.0,51.0,67.0
02. Arganzuela,2003,484.0,430.0,14.0,40.0
02. Arganzuela,2004,394.0,342.0,10.0,42.0
02. Arganzuela,2005,348.0,306.0,13.0,29.0
02. Arganzuela,2006,898.0,825.0,23.0,50.0
02. Arganzuela,2007,280.0,249.0,6.0,25.0
02. Arganzuela,2008,766.0,641.0,49.0,76.0
02. Arganzuela,2009,822.0,768.0,19.0,35.0
02. Arganzuela,2010,449.0,401.0,15.0,33.0
02. Arganzuela,2011,469.0,428.0,18.0,23.0
02. Arganzuela,2013,540.0,500.0,10.0,30.0
02. Arganzuela,2014,534.0,443.0,37.0,54.0
02. Arganzuela,2015,653.0,576.0,31.0,46.0
02. Arganzuela,2016,791.0,724.0,23.0,44.0
02. Arganzuela,2017,692.0,641.0,11.0,40.0
02. Arganzuela,2018,818.0,757.0,21.0,40.0
02. Arganzuela,2019,640.0,607.0,9.0,24.0
02. Arganzuela,2020,491.0,439.0,22.0,30.0
02. Arganzuela,2021,519.0,456.0,22.0,41.0
02. Arganzuela,2022,511.0,393.0,58.0,60.0
02. Arganzuela,2023,571.0,469.0,47.0,55.0
02. Arganzuela,2024,799.0,694.0,37.0,68.0
02. Arganzuela,2025,347.0,280.0,32.0,35.0
02. Arganzuela,2026,652.0,573.0,28.0,51.0
02. Arganzuela,2027,428.0,388.0,13.0,27.0
02. Arganzuela,2028,492.0,367.0,66.0,59.0
02. Arganzuela,2029,355.0,256.0,46.0,53.0
02. Arganzuela,2030,579.0,524.0,15.0,40.0
02. Arganzuela,2031,453.0,422.0,9.0,22.0
02. Arganzuela,2032,278.0,247.0,6.0,25.0
02. Arganzuela,2033,558.0,485.0,18.0,55.0
02. Arganzuela,2034,370.0,329.0,11.0,30.0
02. Arganzuela,2035,433.0,362.0,29.0,42.0
02. Arganzuela,2036,420.0,374.0,9.0,37.0
02. Arganzuela,2037,541.0,486.0,14.0,41.0
02. Arganzuela,2038,463.0,420.0,16.0,27.0
02. Arganzuela,2039,324.0,284.0,5.0,35.0
02. Arganzuela,2040,786.0,687.0,29.0,70.0
02. Arganzuela,2041,941.0,742.0,79.0,120.0
02. Arganzuela,2042,789.0,679.0,33.0,77.0
02. Arganzuela,2043,441.0,367.0,25.0,49.0
02. Arganzuela,2044,681.0,534.0,42.0,105.0
02. Arganzuela,2045,435.0,324.0,33.0,78.0
02. Arganzuela,2046,588.0,447.0,46.0,95.0
02. Arganzuela,2047,676.0,496.0,76.0,104.0
02. Arganzuela,2048,506.0,395.0,41.0,70.0
02. Arganzuela,2049,615.0,573.0,10.0,32.0
